doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
chinh-sach-bao-mat,data/ecommerce/chinh-sach-bao-mat.md,Chính sách bảo mật,https://help.shopee.vn/portal/4/article/77244,2026-09-20,4,public-source
chinh-sach-cam-han-che-san-pham,data/ecommerce/chinh-sach-cam-han-che-san-pham.md,Chính sách cấm/hạn chế sản phẩm,https://help.shopee.vn/portal/4/article/77247,2026-09-20,4,public-source
chinh-sach-tra-hang-hoan-tien,data/ecommerce/chinh-sach-tra-hang-hoan-tien.md,Chính sách trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/77251,2026-09-20,4,public-source
chinh-sach-van-chuyen,data/ecommerce/chinh-sach-van-chuyen.md,Chính sách vận chuyển Shopee,https://help.shopee.vn/portal/4/article/77250,2026-09-20,4,public-source
dieu-khoan-dich-vu,data/ecommerce/dieu-khoan-dich-vu.md,Điều khoản dịch vụ,https://help.shopee.vn/portal/4/article/77243,2026-09-20,4,public-source
dieu-khoan-dich-vu-hien-thi,data/ecommerce/dieu-khoan-dich-vu-hien-thi.md,Điều khoản sử dụng dịch vụ hiển thị,https://help.shopee.vn/portal/4/article/77252,2026-09-20,4,public-source
dieu-khoan-dich-vu-shopee-mall,data/ecommerce/dieu-khoan-dich-vu-shopee-mall.md,Điều khoản dịch vụ của Shopee Mall,https://help.shopee.vn/portal/4/article/77262,2026-09-20,4,public-source
quy-che-hoat-dong-san-thuong-mai-dien-tu,data/ecommerce/quy-che-hoat-dong-san-thuong-mai-dien-tu.md,Quy chế hoạt động sàn thương mại điện tử Shopee.vn,https://help.shopee.vn/portal/4/article/77245,2026-09-20,4,public-source
quy-dinh-dang-ban-san-pham,data/ecommerce/quy-dinh-dang-ban-san-pham.md,Quy định về đăng bán sản phẩm trên Shopee,https://help.shopee.vn/portal/4/article/77246,2026-09-20,4,public-source
quy-trinh-giai-quyet-tranh-chap,data/ecommerce/quy-trinh-giai-quyet-tranh-chap.md,Quy trình giải quyết tranh chấp/xử lý khiếu nại,https://help.shopee.vn/portal/4/article/77265,2026-09-20,4,public-source
