url,doc_id,title,audience,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/77243,dieu-khoan-dich-vu,Điều khoản dịch vụ,buyer,terms-of-service,vi,4,public-source
https://help.shopee.vn/portal/4/article/77244,chinh-sach-bao-mat,Chính sách bảo mật,buyer,privacy-policy,vi,4,public-source
https://help.shopee.vn/portal/4/article/77245,quy-che-hoat-dong-san-thuong-mai-dien-tu,Quy chế hoạt động sàn thương mại điện tử Shopee.vn,buyer,platform-rules,vi,4,public-source
https://help.shopee.vn/portal/4/article/77246,quy-dinh-dang-ban-san-pham,Quy định về đăng bán sản phẩm trên Shopee,seller,listing-policy,vi,4,public-source
https://help.shopee.vn/portal/4/article/77247,chinh-sach-cam-han-che-san-pham,Chính sách cấm/hạn chế sản phẩm,seller,prohibited-products-policy,vi,4,public-source
https://help.shopee.vn/portal/4/article/77250,chinh-sach-van-chuyen,Chính sách vận chuyển Shopee,buyer,shipping-policy,vi,4,public-source
https://help.shopee.vn/portal/4/article/77251,chinh-sach-tra-hang-hoan-tien,Chính sách trả hàng và hoàn tiền,buyer,returns-policy,vi,4,public-source
https://help.shopee.vn/portal/4/article/77252,dieu-khoan-dich-vu-hien-thi,Điều khoản sử dụng dịch vụ hiển thị,seller,ads-display-policy,vi,4,public-source
https://help.shopee.vn/portal/4/article/77262,dieu-khoan-dich-vu-shopee-mall,Điều khoản dịch vụ của Shopee Mall,buyer,terms-of-service,vi,4,public-source
https://help.shopee.vn/portal/4/article/77265,quy-trinh-giai-quyet-tranh-chap,Quy trình giải quyết tranh chấp/xử lý khiếu nại,buyer,dispute-resolution,vi,4,public-source
